t,cost
192.343691911,17086.631108338264
192.55580963300002,17085.628951074512
192.74994228100002,17085.067605590353
192.95477311500002,17085.067605590353
193.14197870200002,17084.367484614002
193.35976175300002,17084.367484614002
193.54006196900002,17083.54373354883
193.748933813,17082.989786409747
193.950618104,17082.989786409747
194.148612143,17082.517169069895
194.35752239,17082.200395437016
194.564315267,17082.200395437016
194.738221885,17081.68427911253
194.94715741000002,17081.42389579418
195.17737005200001,17081.42389579418
195.35376058,17081.04749014223
195.548597613,17080.86837749624
195.761092112,17080.690934966842
195.940291027,17080.27698876956
196.152474648,17080.27698876956
196.355001176,17080.010506603645
196.55945301,17079.835580148698
196.75499770000002,17079.835580148698
196.949479357,17079.609438290066
197.14211675800001,17079.49622661191
197.351830643,17079.49622661191
197.54886708100003,17079.379160324188
197.74633683500002,17079.245407015664
197.95337130800002,17079.245407015664
198.163393973,17079.15569404568
198.342785867,17078.985361287832
198.54612523,17078.985361287832
198.749807327,17078.66813617177
198.95787122200002,17078.593505948662
199.15282051000003,17078.3658180932
199.342590937,17078.061364242076
199.55309828400001,17078.061364242076
199.75183874400003,17077.640724471687
199.959397036,17077.371647422908
200.150210748,17077.371647422908
200.352858991,17076.98680881911
200.571975903,17076.607326545403
200.752111973,17076.607326545403
200.95501708600003,17076.11747774842
201.14772667000003,17075.689440710772
201.35380429900002,17075.689440710772
201.558916933,17075.19820350381
201.747572213,17075.19820350381
201.95619552800002,17074.784175200595
202.153492942,17073.975995013363
202.349785114,17073.975995013363
202.540077174,17073.254131409016
202.744501645,17072.463829238353
202.95733140000002,17072.463829238353
203.158433492,17071.316253622634
203.35459041000001,17070.84791101171
203.565280228,17070.61479551373
203.747415778,17069.625583470166
203.95604839,17069.625583470166
204.146919157,17068.331977612717
204.35533848,17067.264165608183
204.58031467700002,17067.264165608183
204.743835073,17066.125576690098
204.94723315200002,17064.67392239804
205.179068223,17064.67392239804
205.366305361,17063.770150508866
205.54234947,17063.770150508866
205.751676876,17062.57516940049
205.94527771900002,17060.924091299126
206.145965383,17060.924091299126
206.34582427900003,17059.51680949072
206.55205957,17058.395532943425
206.759397309,17058.395532943425
206.955126981,17056.879026791663
207.14904098600002,17056.080295602882
207.339340628,17054.851373625774
207.551568663,17053.197229413614
207.74031955700002,17053.197229413614
207.966742251,17051.520697797612
208.150472898,17049.845085844787
208.342660515,17049.845085844787
208.54234719700003,17047.776048840456
208.75817164300003,17046.568411729433
208.951766636,17046.568411729433
209.16685442500003,17044.97647595782
209.34951535300002,17043.809687744266
209.540958931,17043.050853906236
209.743541009,17041.560001136997
209.967979735,17041.560001136997
210.15590907700002,17040.133183598384
210.350481803,17038.34780827454
210.573414138,17038.34780827454
210.73979801500002,17037.279610574056
210.942346487,17037.279610574056
211.14211112,17035.89953913328
211.362743217,17034.209382465164
211.553001474,17034.209382465164
211.753056608,17032.888408311595
211.949118825,17031.681700922232
212.158578065,17031.681700922232
212.35076326200002,17030.310431960777
212.558520834,17029.544421078637
212.76328538,17029.544421078637
212.965479785,17028.585626042503
213.141807953,17028.585626042503
213.35931262600002,17027.659057028508
213.560369627,17026.601075894752
213.77608013100001,17026.601075894752
213.94520366,17025.86230014204
214.156650815,17025.394118689255
214.344483383,17025.394118689255
214.55245485700001,17024.829739905235
214.76473700600002,17024.471005228326
214.947396153,17024.278449338377
215.153859299,17023.938884582218
215.34439644300002,17023.938884582218
215.537339787,17023.68501085074
215.76316458300002,17023.48562187415
215.94977353800002,17023.48562187415
216.15032473500003,17023.32636216077
216.36061999900002,17023.32636216077
216.537815316,17023.160290912896
216.745353329,17023.023790471547
216.953892066,17023.023790471547
217.152406143,17022.892989174128
217.36180024200002,17022.77059694854
217.554842924,17022.77059694854
217.766430315,17022.596480069267
217.947736694,17022.467255340143
218.153091829,17022.467255340143
218.356999018,17022.36165599441
218.55688964900003,17022.198448759118
218.74035778500001,17022.198448759118
218.96352944900002,17022.095271708833
219.153881839,17021.9347653362
219.342434499,17021.9347653362
219.55002204200002,17021.784912920717
219.74949798900002,17021.713311411317
219.959476087,17021.58842154674
220.150629508,17021.441789579545
220.387403116,17021.441789579545
220.55318051900002,17021.336968940283
220.75531643600002,17021.209958284282
220.95573678500003,17021.209958284282
221.15549448700003,17021.023395486558
221.356958052,17021.023395486558
221.568081014,17020.83981758941
221.74029614900002,17020.61804906014
221.95499748,17020.61804906014
222.14266063500003,17020.35239064125
222.382487787,17020.196800085
222.550897434,17020.196800085
222.76527371,17020.013512278965
222.97479767200002,17020.013512278965
223.147352833,17019.788917701015
223.35790516400002,17019.66290315267
223.558446163,17019.66290315267
223.75823082500003,17019.57806250328
223.95954902000003,17019.562687260262
224.144470809,17019.55519890729
224.374122214,17019.618880240083
224.55472085800002,17019.618880240083
224.75050861900002,17019.734493352975
224.949696597,17019.885730637634
225.169109087,17019.885730637634
225.359616732,17020.071299398027
225.557947794,17020.27776982939
225.76341904100002,17020.27776982939
225.94586772000002,17020.439622754075
226.138951531,17020.439622754075
226.355210883,17020.678455500965
226.552713334,17020.74388910233
226.75176787900003,17020.74388910233
226.95502102600003,17020.829193799218
227.14929055000002,17020.880496110894
227.34820358000002,17020.880496110894
227.56289629800003,17020.905025769836
227.753995392,17020.90765712483
227.95316604,17020.889446570047
228.18733286000003,17020.805462640445
228.35078414600002,17020.805462640445
228.55159791100002,17020.627207771588
228.775291403,17020.441945453356
228.96848265300002,17020.441945453356
229.16389743000002,17020.2291208942
229.37483317000002,17020.18432075689
229.54030989300003,17019.972105745735
229.743867937,17019.679407656542
229.948147454,17019.679407656542
230.170956574,17019.315709082086
230.347413867,17018.862044233767
230.54160010400003,17018.711856909646
230.75303314800001,17018.098773030208
230.952178086,17018.098773030208
231.15707630000003,17017.482653980613
231.37032004800002,17016.56613458411
231.54666613600003,17016.56613458411
